[ 00:08:21.128 -->  00:08:21.364] FF SPEAKER_01
[ 00:08:23.035 -->  00:08:23.676] CH SPEAKER_00
[ 00:08:24.267 -->  00:08:29.684] CI SPEAKER_00
[ 00:08:30.797 -->  00:08:31.405] CJ SPEAKER_00
[ 00:08:39.252 -->  00:08:42.188] CK SPEAKER_00
[ 00:08:48.567 -->  00:08:50.879] CL SPEAKER_00
[ 00:08:53.123 -->  00:08:54.135] CM SPEAKER_00
[ 00:08:54.810 -->  00:08:59.519] CN SPEAKER_00
[ 00:08:59.856 -->  00:09:00.160] FG SPEAKER_01
[ 00:09:01.847 -->  00:09:16.191] CO SPEAKER_00
[ 00:09:07.973 -->  00:09:08.277] FH SPEAKER_01
[ 00:09:17.541 -->  00:09:19.482] CP SPEAKER_00
[ 00:09:20.882 -->  00:09:28.442] CQ SPEAKER_00
[ 00:09:29.826 -->  00:09:32.104] CR SPEAKER_00
[ 00:09:34.214 -->  00:09:34.534] FI SPEAKER_01
[ 00:09:38.365 -->  00:09:40.845] CS SPEAKER_00
[ 00:09:42.179 -->  00:09:43.765] CT SPEAKER_00
[ 00:09:44.372 -->  00:09:51.747] CU SPEAKER_00
[ 00:09:52.776 -->  00:09:57.957] CV SPEAKER_00
[ 00:09:59.442 -->  00:10:00.809] CW SPEAKER_00
[ 00:10:02.243 -->  00:10:05.669] CX SPEAKER_00
[ 00:10:06.529 -->  00:10:06.850] CY SPEAKER_00
[ 00:10:08.099 -->  00:10:21.059] CZ SPEAKER_00
[ 00:10:15.490 -->  00:10:15.861] FJ SPEAKER_01
[ 00:10:21.885 -->  00:10:24.147] DA SPEAKER_00
[ 00:10:25.277 -->  00:10:25.682] DB SPEAKER_00
[ 00:10:28.062 -->  00:10:31.454] DC SPEAKER_00
[ 00:10:31.943 -->  00:10:32.162] FK SPEAKER_01
[ 00:10:33.462 -->  00:10:34.896] DD SPEAKER_00
[ 00:10:36.229 -->  00:10:36.938] DE SPEAKER_00
[ 00:10:37.714 -->  00:10:41.258] DF SPEAKER_00
[ 00:10:42.895 -->  00:10:45.645] DG SPEAKER_00
[ 00:10:47.519 -->  00:10:52.834] DH SPEAKER_00
[ 00:10:53.965 -->  00:10:58.234] DI SPEAKER_00
[ 00:10:59.297 -->  00:11:05.136] DJ SPEAKER_00
[ 00:11:06.250 -->  00:11:21.370] DK SPEAKER_00
[ 00:11:22.011 -->  00:11:26.804] DL SPEAKER_00
[ 00:11:27.495 -->  00:11:29.537] DM SPEAKER_00
[ 00:11:31.039 -->  00:11:37.823] DN SPEAKER_00
[ 00:11:39.122 -->  00:11:43.476] DO SPEAKER_00
[ 00:11:43.139 -->  00:11:43.324] FL SPEAKER_01
[ 00:11:45.383 -->  00:11:47.796] DP SPEAKER_00
[ 00:11:54.884 -->  00:11:58.917] DQ SPEAKER_00
[ 00:11:59.507 -->  00:12:12.383] DR SPEAKER_00
[ 00:12:15.589 -->  00:12:18.289] DS SPEAKER_00
[ 00:12:20.601 -->  00:12:21.040] FM SPEAKER_01
[ 00:12:26.102 -->  00:12:26.524] DT SPEAKER_00
[ 00:12:27.469 -->  00:12:33.544] DU SPEAKER_00
[ 00:12:34.219 -->  00:12:34.574] DV SPEAKER_00
[ 00:12:42.319 -->  00:12:43.619] DW SPEAKER_00
[ 00:12:44.226 -->  00:12:48.040] DX SPEAKER_00
[ 00:12:48.782 -->  00:12:50.048] DY SPEAKER_00
[ 00:12:52.799 -->  00:12:53.102] DZ SPEAKER_00
[ 00:12:54.385 -->  00:12:55.397] EA SPEAKER_00
[ 00:12:56.089 -->  00:12:56.899] EB SPEAKER_00
[ 00:12:57.844 -->  00:12:58.789] EC SPEAKER_00
[ 00:12:59.785 -->  00:13:01.574] ED SPEAKER_00
[ 00:13:03.329 -->  00:13:06.147] EE SPEAKER_00
[ 00:13:06.957 -->  00:13:10.180] EF SPEAKER_00
[ 00:13:12.137 -->  00:13:17.875] EG SPEAKER_00
[ 00:13:19.461 -->  00:13:21.604] EH SPEAKER_00
[ 00:13:22.819 -->  00:13:26.245] EI SPEAKER_00
[ 00:13:27.932 -->  00:13:30.042] EJ SPEAKER_00
[ 00:13:31.392 -->  00:13:36.539] EK SPEAKER_00
[ 00:13:37.180 -->  00:13:39.154] EL SPEAKER_00
[ 00:13:42.850 -->  00:13:43.390] EM SPEAKER_00
[ 00:13:47.372 -->  00:13:49.127] EN SPEAKER_00
[ 00:13:49.380 -->  00:13:49.634] FN SPEAKER_01
[ 00:13:50.072 -->  00:13:57.160] EO SPEAKER_00
[ 00:13:58.257 -->  00:14:00.079] EP SPEAKER_00
[ 00:14:01.581 -->  00:14:01.952] EQ SPEAKER_00
[ 00:14:07.859 -->  00:14:09.360] ER SPEAKER_00
[ 00:14:10.964 -->  00:14:12.989] ES SPEAKER_00
[ 00:14:16.937 -->  00:14:16.954] FO SPEAKER_01
